ENGB29H3,English (UTSC)
JMU421H1,Faculty of Music
PSY220H5,Psychology
ARC382H1,John H. Daniels Faculty of Architecture, Landscape, & Design
ACMC01H3,Dept. of Arts, Culture & Media (UTSC)
ANT201H5,Anthropology
CLA101H5,Historical Studies
BIOD33H3,Biological Sciences (UTSC)
CDPD01H3,University of Toronto Scarborough
PSY344H5,Psychology
PHY372H1,Physics
ECE557H1,Division of Engineering Science
BIO325H5,Biology
ECE344H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
HLTD08H3,Health and Society (UTSC)
AER210H1,Division of Engineering Science
PHLD93H3,Philosophy (UTSC)
LINA01H3,Language Studies (UTSC)
ARC399Y1,John H. Daniels Faculty of Architecture, Landscape, & Design
WRI410H5,Institute of Communication and Culture
MGT321H5,Management
ENG269H5,English and Drama
ACT391H1,Statistical Sciences
NROB61H3,Psychology (UTSC)
ANT200H5,Anthropology
ENGB71H3,English (UTSC)
SDS458H1,Sexual Diversity Studies
MDSA02H3,Dept. of Arts, Culture & Media (UTSC)
FLDD02H3,Dept. of Arts, Culture & Media (UTSC)
CLA232H1,Classics
MIE498Y1,Mechanical & Industrial Engineering
LIN495Y1,Linguistics
MGEC37H3,Management (UTSC)
ITA421H5,Language Studies
PHLB50H3,Philosophy (UTSC)
GGR335H5,Geography, Geomatics and Environment
CCT412H5,Institute of Communication and Culture
MDSC02H3,Dept. of Arts, Culture & Media (UTSC)
CHE210H1,Chemical Engineering and Applied Chemistry
EMU130Y1,Faculty of Music
CSC299Y1,Computer Science
ENG344H5,English and Drama
MSE492H1,Materials Science and Engineering
PHY347H5,Chemical and Physical Sciences
ARA210H5,Language Studies
ARC486H1,John H. Daniels Faculty of Architecture, Landscape, & Design
CSC493H5,Mathematical and Computational Sciences
MGM464H5,Management
SOC325H5,Sociology
FRE283H5,Language Studies
MGFD25H3,Management (UTSC)
PSY424H1,Psychology
GGR107H1,Geography and Planning
MSE461H1,Materials Science and Engineering
MUZC63H3,Dept. of Arts, Culture & Media (UTSC)
PHLD97H3,Philosophy (UTSC)
PSY299Y1,Psychology
CHMC16H3,Dept. of Physical & Environmental Sci (UTSC)
PSYB07H3,Psychology (UTSC)
CIN207H5,Visual Studies
PMU205Y1,Faculty of Music
LINB18H3,Language Studies (UTSC)
VIS205H1,John H. Daniels Faculty of Architecture, Landscape, & Design
SOC483H1,Sociology
HISC67H3,Dept. of Historical & Cultural Studies (UTSC)
PMU271Y1,Faculty of Music
EESA06H3,Dept. of Physical & Environmental Sci (UTSC)
PHL322H1,Philosophy
MGSC30H3,Management (UTSC)
ERS311H5,Chemical and Physical Sciences
SMC219Y1,St. Michael's College
SOC446H5,Sociology
PEY200H5,University of Toronto Mississauga
WGS375H5,Historical Studies
PPGD64H3,Political Science (UTSC)
ECO421H1,Economics
OMU610H1,Faculty of Music
MAT244H5,Mathematical and Computational Sciences
CHE430Y1,Chemical Engineering and Applied Chemistry
ANT466H5,Anthropology
VPSB85H3,Dept. of Arts, Culture & Media (UTSC)
SOCB43H3,Sociology (UTSC)
HIS498H1,History
AER307H1,Division of Engineering Science
SOC251H1,Sociology
MATA37H3,Dept. of Computer & Mathematical Sci (UTSC)
STAD57H3,Dept. of Computer & Mathematical Sci (UTSC)
CSCD92H3,Dept. of Computer & Mathematical Sci (UTSC)
EDS377H5,Language Studies
PHLB02H3,Philosophy (UTSC)
NFS284H1,Nutritional Sciences
PHL103H5,Philosophy
PHY451H5,Chemical and Physical Sciences
RSM260H1,Rotman Commerce
COPB51H3,Dept. of Physical & Environmental Sci (UTSC)
PHL433H5,Philosophy
ECE297H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
SOC303H5,Sociology
RLG497Y5,Historical Studies
FSC320H5,Anthropology
MIE562H1,Mechanical & Industrial Engineering
MAT498H5,Mathematical and Computational Sciences
BIOC12H3,Biological Sciences (UTSC)
ENG367H5,English and Drama
CIN215H5,Visual Studies
PSYD54H3,Psychology (UTSC)
SOC231H5,Sociology
SOCA03Y3,Sociology (UTSC)
TRN299Y1,Trinity College
VPSC68H3,Dept. of Arts, Culture & Media (UTSC)
CHE353H1,Chemical Engineering and Applied Chemistry
MAT224H1,Mathematics
FREA97H3,Language Studies (UTSC)
MIE258H1,Mechanical & Industrial Engineering
ACMB10H3,Dept. of Arts, Culture & Media (UTSC)
VIS312H1,John H. Daniels Faculty of Architecture, Landscape, & Design
FLDC01H3,Dept. of Arts, Culture & Media (UTSC)
CCT373H5,Institute of Communication and Culture
ECO375H5,Economics
ECE345H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
SOC463H1,Sociology
MAT133Y5,Mathematical and Computational Sciences
BIO476H5,Biology
FLDD01H3,Dept. of Arts, Culture & Media (UTSC)
WRI273H5,Institute of Communication and Culture
CHM220H1,Chemistry
LAT211H5,Language Studies
CCT356H5,Institute of Communication and Culture
MIN466H1,Civil and Mineral Engineering
PSYD15H3,Psychology (UTSC)
GGRC24H3,Human Geography (UTSC)
MGSC14H3,Management (UTSC)
MUZB60H3,Dept. of Arts, Culture & Media (UTSC)
POLD09H3,Political Science (UTSC)
PSY474H5,Psychology
CIV280H1,Civil and Mineral Engineering
VIS301H1,John H. Daniels Faculty of Architecture, Landscape, & Design
CSC338H5,Mathematical and Computational Sciences
CIV191H1,Engineering First Year Office
ECE334H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
FAS448Y5,Visual Studies
JMU392Y1,Faculty of Music
PMU384Y1,Faculty of Music
MGEB01H3,Management (UTSC)
ECE221H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
POL303Y5,Political Science
SOC243H1,Sociology
CCT109H5,Institute of Communication and Culture
WGS434H5,Historical Studies
MGT374H5,Management
BIO299Y5,Biology
AST222H5,Chemical and Physical Sciences
GGR207H5,Geography, Geomatics and Environment
MIE459H1,Mechanical & Industrial Engineering
PSYC51H3,Psychology (UTSC)
LIN288H5,Language Studies
EMU371H1,Faculty of Music
ECO422H1,Economics
HIS399Y5,Historical Studies
CSC399Y5,Mathematical and Computational Sciences
CCT480H5,Institute of Communication and Culture
CHI211H5,Language Studies
WRI310H5,Institute of Communication and Culture
CSC299Y5,Mathematical and Computational Sciences
GER100Y5,Language Studies
CRI322H1,Centre for Criminology and Sociolegal Studies
MIN225H1,Civil and Mineral Engineering
BIOC23H3,Biological Sciences (UTSC)
BIOD96Y3,Biological Sciences (UTSC)
ISP100H5,Institute for the Study of University Pedagogy
HSC307H5,Biology
ECE417H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
SOC447H5,Sociology
VPSD57H3,Dept. of Arts, Culture & Media (UTSC)
BIO399Y5,Biology
MIE542H1,Mechanical & Industrial Engineering
CCT419H5,Institute of Communication and Culture
ANT343H1,Anthropology
FRE482H5,Language Studies
CDN335H1,University College
PSCB90H3,Dept. of Physical & Environmental Sci (UTSC)
PHL113H5,Philosophy
BIO368H5,Biology
FSL221Y1,French
HIS221H5,Historical Studies
CCT260H5,Institute of Communication and Culture
URD312Y5,Language Studies
ENG252H1,English
PSY280H1,Psychology
CCT270H5,Institute of Communication and Culture
ECE422H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
HISD65H3,Dept. of Historical & Cultural Studies (UTSC)
CCT354H5,Institute of Communication and Culture
POL320Y5,Political Science
WSTB12H3,Dept. of Historical & Cultural Studies (UTSC)
HIS438H5,Historical Studies
HIS262H5,Historical Studies
SMC457H1,St. Michael's College
CSC148H1,Computer Science
ARC365H1,John H. Daniels Faculty of Architecture, Landscape, & Design
PHL275H5,Philosophy
BIOD27H3,Biological Sciences (UTSC)
MGSB22H3,Management (UTSC)
ARC280H1,John H. Daniels Faculty of Architecture, Landscape, & Design
ITA413Y5,Language Studies
CHI203H5,Language Studies
EAS120Y1,East Asian Studies
ECO200Y1,Economics
TEP444H1,Inst for Studies in Transdisciplinary Engin Educ & Practice
BIO475H5,Biology
GRK428H1,Classics
HMU430H1,Faculty of Music
CHE305H1,Chemical Engineering and Applied Chemistry
TMU403H1,Faculty of Music
JAV101H1,John H. Daniels Faculty of Architecture, Landscape, & Design
FAH332H5,Visual Studies
ENG101H5,English and Drama
SOCB26H3,Sociology (UTSC)
PSY210H5,Psychology
ESC204H1,Division of Engineering Science
CHM135H1,Chemistry
THRB40H3,Dept. of Arts, Culture & Media (UTSC)
SOCC24H3,Sociology (UTSC)
FRE492H5,Language Studies
EESB02H3,Dept. of Physical & Environmental Sci (UTSC)
MGHC23H3,Management (UTSC)
VIS303H1,John H. Daniels Faculty of Architecture, Landscape, & Design
CCT360H5,Institute of Communication and Culture
MIE342H1,Mechanical & Industrial Engineering
CSCD03H3,Dept. of Computer & Mathematical Sci (UTSC)
ENV100Y5,Geography, Geomatics and Environment
EDS310H5,Language Studies
HMB299Y1,Human Biology Program
PMU412H1,Faculty of Music
BIO153H5,Biology
SMC381Y1,St. Michael's College
EMU230H1,Faculty of Music
PHY131H1,Physics
MDSC62H3,Dept. of Arts, Culture & Media (UTSC)
ITA219H5,Language Studies
PMU267Y1,Faculty of Music
PSY240H5,Psychology
PHLB35H3,Philosophy (UTSC)
CSC375H5,Mathematical and Computational Sciences
FRE399Y5,Language Studies
CHI310H5,Language Studies
ANTD31H3,Anthropology (UTSC)
ESS324H1,Earth Sciences
MGED90H3,Management (UTSC)
POLD95H3,Political Science (UTSC)
NMC278H1,Near & Middle Eastern Civilizations
PHYD72H3,Dept. of Physical & Environmental Sci (UTSC)
HIS377H1,History
WSTA01H3,Dept. of Historical & Cultural Studies (UTSC)
ENG110Y1,English
GGR337H5,Geography, Geomatics and Environment
CSC485H1,Computer Science
HLTD53H3,Health and Society (UTSC)
TMU133H1,Faculty of Music
MAT301H5,Mathematical and Computational Sciences
POL487H1,Political Science
PSY396H1,Psychology
ECE352H1,Division of Engineering Science
MGY250H1,Molecular Genetics
PSYD17H3,Psychology (UTSC)
PSY311H5,Psychology
ENG341H1,English
MIE540H1,Mechanical & Industrial Engineering
CCT335H5,Institute of Communication and Culture
IRE244H1,Centre for Industrial Relations and Human Resources
CHMB23H3,Dept. of Physical & Environmental Sci (UTSC)
JAV152H1,John H. Daniels Faculty of Architecture, Landscape, & Design
PMU463Y1,Faculty of Music
JMU489Y1,Faculty of Music
ARC364Y1,John H. Daniels Faculty of Architecture, Landscape, & Design
LAT221H5,Language Studies
HLTC17H3,Health and Society (UTSC)
PMU251Y1,Faculty of Music
MATA30H3,Dept. of Computer & Mathematical Sci (UTSC)
FSC350H5,Anthropology
ARC399H1,John H. Daniels Faculty of Architecture, Landscape, & Design
MGT430H5,Management
ARC461H1,John H. Daniels Faculty of Architecture, Landscape, & Design
MAT202H5,Mathematical and Computational Sciences
BIO208H5,Biology
GGR252H5,Geography, Geomatics and Environment
PHY473H5,Chemical and Physical Sciences
PHLC95H3,Philosophy (UTSC)
ANT202H5,Anthropology
PHY472H1,Physics
TMU131H1,Faculty of Music
FRE393H5,Language Studies
MGT399Y5,Management
ENV491Y1,School of Environment
PSYB20H3,Psychology (UTSC)
PSYD18H3,Psychology (UTSC)
POLC79H3,Political Science (UTSC)
TMU140Y1,Faculty of Music
OMU605H1,Faculty of Music
SOC354H1,Sociology
AER506H1,Division of Engineering Science
VCC290H5,Visual Studies
ECE537H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
PHL475H5,Philosophy
FAH481H1,Art History
ECO364H1,Economics
CLA388H1,Classics
ENG237H1,English
BIO375H5,Biology
PMA451Y1,Faculty of Music
JOUB24H3,Dept. of Arts, Culture & Media (UTSC)
GGR309H5,Geography, Geomatics and Environment
CIN305H5,Visual Studies
SOC211H5,Sociology
ARA312Y5,Language Studies
ACMD02H3,Dept. of Arts, Culture & Media (UTSC)
ARC302H1,John H. Daniels Faculty of Architecture, Landscape, & Design
MATB41H3,Dept. of Computer & Mathematical Sci (UTSC)
IDSB07H3,Centre for Critical Development Studies (UTSC)
MGFC10H3,Management (UTSC)
PEY500H1,Faculty of Applied Science & Engineering
JMU420H1,Faculty of Music
FRED07H3,Language Studies (UTSC)
GGR209H5,Geography, Geomatics and Environment
MUZC67H3,Dept. of Arts, Culture & Media (UTSC)
HLTD80H3,Health and Society (UTSC)
MSE443H1,Materials Science and Engineering
LIN366H5,Language Studies
PHL310H5,Philosophy
APS100H1,Engineering First Year Office
HLTC52H3,Health and Society (UTSC)
BIOD13H3,Biological Sciences (UTSC)
PSY393H5,Psychology
ANT335H5,Anthropology
ANA300Y1,Anatomy and Cell Biology
GASD53H3,Dept. of Historical & Cultural Studies (UTSC)
SOC491H5,Sociology
RLG371H5,Historical Studies
STAD37H3,Dept. of Computer & Mathematical Sci (UTSC)
MIE404H1,Mechanical & Industrial Engineering
BIOB12H3,Biological Sciences (UTSC)
SOC301H5,Sociology
POL310Y5,Political Science
PSYC33H3,Psychology (UTSC)
PHL265H5,Philosophy
MGAD50H3,Management (UTSC)
LIN203H1,Linguistics
HLTC48H3,Health and Society (UTSC)
ANTB22H3,Anthropology (UTSC)
MGT414H5,Management
SLA212H1,Slavic Languages and Literatures
PSYC39H3,Psychology (UTSC)
BIO200H5,Biology
ANT499H1,Anthropology
GGRB21H3,Human Geography (UTSC)
HISD16H3,Dept. of Historical & Cultural Studies (UTSC)
ERS299Y5,Chemical and Physical Sciences
ARA411H5,Language Studies
LIN388H5,Language Studies
CIV515H1,Civil and Mineral Engineering
ENGC86H3,English (UTSC)
MIE222H1,Mechanical & Industrial Engineering
CHM243H5,Chemical and Physical Sciences
HIS374H5,Historical Studies
WGS345H5,Historical Studies
WSTC02H3,Dept. of Historical & Cultural Studies (UTSC)
COPB50H3,Dept. of Computer & Mathematical Sci (UTSC)
APS105H1,Engineering First Year Office
ENGB07H3,English (UTSC)
PMA485Y1,Faculty of Music
MGHB12H3,Management (UTSC)
WGS410H5,Historical Studies
BIO318Y5,Biology
LINA02H3,Language Studies (UTSC)
RLG362H5,Historical Studies
HLTD25H3,Health and Society (UTSC)
VIS313H1,John H. Daniels Faculty of Architecture, Landscape, & Design
PSY392H5,Psychology
CSCA48H3,Dept. of Computer & Mathematical Sci (UTSC)
BIO130H1,Cell and Systems Biology
EAS496H1,East Asian Studies
GASB65H3,Dept. of Historical & Cultural Studies (UTSC)
